== CamProbeV2RegionFull（OP-002 区域全 dump）==
time: 2026-09-06 00:26:33
件: C:\Users\21505\Code\nx-vibe-v2\samples\v2.rebuilt-20260906-000810.prt
打开 OK: v2.rebuilt-20260906-000810  camSession=True
== OP-002 存档: time=28.3736 length=39849.6843
regions=118  质心数=118 面积数=118
== 逐区（质心 x,y,z | 面积 | z 分层注记）==
  区[52] x=74.9997 y=38.9777 z=89.4449 | 面积=1410.68
    -- z 变层: 89.4449 层区数=1 --
  区[53] x=74.9997 y=38.9777 z=89.2458 | 面积=1410.68
    -- z 变层: 89.2458 层区数=1 --
  区[54] x=74.9997 y=38.9777 z=89.0466 | 面积=1410.68
    -- z 变层: 89.0466 层区数=1 --
  区[55] x=74.9997 y=38.9777 z=88.8475 | 面积=1410.68
    -- z 变层: 88.8475 层区数=1 --
  区[56] x=74.9997 y=38.9777 z=88.6483 | 面积=1410.68
    -- z 变层: 88.6483 层区数=1 --
  区[57] x=74.9997 y=38.9777 z=88.4492 | 面积=1410.68
    -- z 变层: 88.4492 层区数=1 --
  区[58] x=74.9997 y=38.9777 z=88.25 | 面积=1410.68
    -- z 变层: 88.25 层区数=1 --
  区[59] x=74.9997 y=38.9777 z=88.0508 | 面积=1410.68
    -- z 变层: 88.0508 层区数=1 --
  区[60] x=74.9997 y=38.9777 z=87.8517 | 面积=1410.68
    -- z 变层: 87.8517 层区数=1 --
  区[61] x=74.9997 y=38.9777 z=87.6525 | 面积=1410.68
    -- z 变层: 87.6525 层区数=1 --
  区[62] x=74.9997 y=38.9777 z=87.4534 | 面积=1410.68
    -- z 变层: 87.4534 层区数=1 --
  区[63] x=74.9997 y=38.9777 z=87.2542 | 面积=1410.68
    -- z 变层: 87.2542 层区数=1 --
  区[64] x=74.9997 y=38.9777 z=87.0551 | 面积=1410.68
    -- z 变层: 87.0551 层区数=1 --
  区[65] x=74.9997 y=38.9777 z=86.8559 | 面积=1410.68
    -- z 变层: 86.8559 层区数=1 --
  区[66] x=74.9997 y=38.9777 z=86.6568 | 面积=1410.68
    -- z 变层: 86.6568 层区数=1 --
  区[67] x=74.9997 y=38.9777 z=86.4576 | 面积=1410.68
    -- z 变层: 86.4576 层区数=1 --
  区[68] x=74.9997 y=38.9777 z=86.2585 | 面积=1410.68
    -- z 变层: 86.2585 层区数=1 --
  区[69] x=74.9997 y=38.9777 z=86.0593 | 面积=1410.68
    -- z 变层: 86.0593 层区数=1 --
  区[70] x=74.9997 y=38.9777 z=85.8602 | 面积=1410.68
    -- z 变层: 85.8602 层区数=1 --
  区[71] x=74.9997 y=38.9777 z=85.661 | 面积=1410.68
    -- z 变层: 85.661 层区数=1 --
  区[72] x=74.9997 y=38.9777 z=85.4619 | 面积=1410.68
    -- z 变层: 85.4619 层区数=1 --
  区[73] x=74.9997 y=38.9777 z=85.2627 | 面积=1410.68
    -- z 变层: 85.2627 层区数=1 --
  区[74] x=74.9997 y=38.9777 z=85.0636 | 面积=1410.68
    -- z 变层: 85.0636 层区数=1 --
  区[75] x=74.9997 y=38.9777 z=84.8644 | 面积=1410.68
    -- z 变层: 84.8644 层区数=1 --
  区[76] x=74.9997 y=38.9777 z=84.6653 | 面积=1410.68
    -- z 变层: 84.6653 层区数=1 --
  区[77] x=74.9997 y=38.9777 z=84.4661 | 面积=1410.68
    -- z 变层: 84.4661 层区数=1 --
  区[78] x=74.9997 y=38.9777 z=84.2669 | 面积=1410.68
    -- z 变层: 84.2669 层区数=1 --
  区[79] x=74.9997 y=38.9777 z=84.0678 | 面积=1410.68
    -- z 变层: 84.0678 层区数=1 --
  区[80] x=74.9997 y=38.9777 z=83.8686 | 面积=1410.68
    -- z 变层: 83.8686 层区数=1 --
  区[81] x=74.9997 y=38.9777 z=83.6695 | 面积=1410.68
    -- z 变层: 83.6695 层区数=1 --
  区[82] x=74.9997 y=38.9777 z=83.4703 | 面积=1410.68
    -- z 变层: 83.4703 层区数=1 --
  区[83] x=74.9997 y=38.9777 z=83.2712 | 面积=1410.68
    -- z 变层: 83.2712 层区数=1 --
  区[84] x=74.9997 y=38.9777 z=83.072 | 面积=1410.68
    -- z 变层: 83.072 层区数=1 --
  区[85] x=74.9997 y=38.9777 z=82.8729 | 面积=1410.68
    -- z 变层: 82.8729 层区数=1 --
  区[86] x=74.9997 y=38.9777 z=82.6737 | 面积=1410.68
    -- z 变层: 82.6737 层区数=1 --
  区[87] x=74.9997 y=38.9777 z=82.4746 | 面积=1410.68
    -- z 变层: 82.4746 层区数=1 --
  区[88] x=74.9997 y=38.9777 z=82.2754 | 面积=1410.68
    -- z 变层: 82.2754 层区数=1 --
  区[89] x=74.9997 y=38.9777 z=82.0763 | 面积=1410.68
    -- z 变层: 82.0763 层区数=1 --
  区[90] x=74.9997 y=38.9777 z=81.8771 | 面积=1410.68
